model,condition,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_precision,mean_recall
Random Forest,Low Intensity,0.4251515340225018,0.1385859526626787,0.3535050228327539,0.16504070347180172,0.42909336210669685,0.41908333942896153
Logistic Regression,Low Intensity,0.41237493253622287,0.09151464175920364,0.3469129033038807,0.09918162841302341,0.4160409812583725,0.40781861848682116
MLP_3Layer,Low Intensity,0.35471416116577403,0.06913743861843887,0.27142517048532083,0.07004060446924135,0.33003621637162006,0.34282885914222316
CNN_LSTM_Attention,Low Intensity,0.2326981359239424,0.08436869291209848,0.13435769459641997,0.1170543349912699,0.2960672384895987,0.22500036573769291
Random Forest,High Intensity,0.5370143715048766,0.0722293668354522,0.46585832001798383,0.08360393103779766,0.4890522391277909,0.4948121055263912
Logistic Regression,High Intensity,0.5505510429423713,0.06743248401325298,0.4708022526494538,0.06535540958029436,0.5243095250614048,0.5196647625219054
MLP_3Layer,High Intensity,0.4906328847771236,0.08778397179560354,0.42001184017971677,0.0863761092847808,0.4627533506627583,0.45980981695267403
CNN_LSTM_Attention,High Intensity,0.454745436973426,0.10474269126297585,0.3791387833130617,0.11783371531162203,0.41750768354111817,0.42468364968364974
