feature_group,n_features,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_precision,mean_recall
MFCC Only,26,0.3729060057192444,0.09766855710646032,0.3153371542882716,0.08982268619445699,0.4369875063866426,0.34773762117512114
Prosody Only,12,0.32775296246404334,0.056280674746172855,0.22961450927751978,0.04109121487691302,0.24926815876570776,0.28104690448440445
Voice Quality Only,3,0.23676059047370543,0.057613245726612465,0.18112659229761718,0.05481622363876081,0.1943319212935897,0.2060413544788545
All Features,41,0.4028813827025923,0.08569496544095134,0.33554176705767524,0.08657152528785118,0.40109418391635887,0.36759950119325113
