model,condition,n_samples,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_precision,mean_recall
Random Forest,Sentence-Level,360,0.4388888888888889,0.08534606386520677,0.38531223383612634,0.09645345674376408,0.4025990604575163,0.41145833333333337
MLP_3Layer,Sentence-Level,360,0.3888888888888889,0.0921284663987611,0.3307702591974833,0.0931521695865923,0.39057839367271346,0.3723958333333333
Random Forest,2s-Windows,426,0.4179753909948662,0.06393506620772196,0.335708526594167,0.05866205389237025,0.3733165261125787,0.37590993866047745
MLP_3Layer,2s-Windows,426,0.43024264530597217,0.09107915193711509,0.3468618818592634,0.08373611281647869,0.3776222882132045,0.3916572346475364
Random Forest,1s-Windows,1146,0.3383279472595715,0.034800504550890746,0.2936167540306243,0.03282745246043683,0.30643199935718035,0.31376962683766474
MLP_3Layer,1s-Windows,1146,0.30902334813810456,0.023085871655660933,0.2791246365015622,0.02922337116603578,0.2929050649859977,0.29192702674031057
