model,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_precision,std_precision,mean_recall,std_recall,mean_epochs,mean_train_time,n_params
MLP_3Layer,0.4054028992808045,0.07212393231127812,0.32070769839566815,0.0799205942611289,0.33033675757650216,0.09055550550803168,0.36881446100196097,0.07099234336858172,39.833333333333336,10.47798458735148,54216
MLP_1Layer,0.4014297428772387,0.11556076767796254,0.32532182362580536,0.10128919387713761,0.40061166168194157,0.10682907444813858,0.35981330590705585,0.09250439461286833,43.5,8.422130783398947,6920
CNN_1D,0.40053380004982747,0.09394699533044884,0.32031631939676486,0.08688868670758666,0.372186042301889,0.1115994013452536,0.3667865120990121,0.08089710482968965,23.166666666666668,7.694605588912964,189960
CNN_LSTM_Attention,0.3469215545079268,0.0797665721361193,0.25383596591757557,0.0781053084392198,0.2669663143265117,0.10490706872311938,0.30382638195138195,0.062370892048194,32.666666666666664,17.031394004821777,157705
