actor,n_train,n_test,accuracy,macro_f1,precision,recall,condition
01,300,60,0.31666666666666665,0.29081196581196583,0.4361486486486486,0.296875,Sentence-Level
03,300,60,0.48333333333333334,0.4152914277914278,0.5219827586206897,0.453125,Sentence-Level
05,300,60,0.48333333333333334,0.4175272740675217,0.487012987012987,0.453125,Sentence-Level
07,300,60,0.36666666666666664,0.32668067226890757,0.4467592592592593,0.34375,Sentence-Level
09,300,60,0.38333333333333336,0.37474468954248363,0.5328373015873016,0.40625,Sentence-Level
11,300,60,0.36666666666666664,0.3359432234432234,0.4612615207373272,0.34375,Sentence-Level
