actor,n_train,n_test,accuracy,macro_f1,precision,recall,condition
01,952,194,0.28865979381443296,0.26985157699443413,0.3328598484848485,0.2899305555555556,1s-Windows-Non-Overlapping
03,951,195,0.30256410256410254,0.24892014176971805,0.2962256852343059,0.27372685185185186,1s-Windows-Non-Overlapping
05,947,199,0.3015075376884422,0.24620269119052032,0.24827967171717172,0.2674865992484527,1s-Windows-Non-Overlapping
07,950,196,0.32142857142857145,0.2520578883727404,0.260008339084426,0.29098533570516333,1s-Windows-Non-Overlapping
09,964,182,0.27472527472527475,0.2622488042479798,0.3032863755741114,0.2825,1s-Windows-Non-Overlapping
11,966,180,0.37222222222222223,0.3325051609917966,0.35201496138996136,0.3538224637681159,1s-Windows-Non-Overlapping
