actor,n_train,n_test,accuracy,macro_f1,precision,recall,condition
01,353,73,0.2328767123287671,0.1808162076019219,0.30579268292682926,0.21231060606060603,2s Windows (non-overlapping)
03,351,75,0.4666666666666667,0.3804376514013375,0.3756175889328063,0.42451298701298706,2s Windows (non-overlapping)
05,347,79,0.5189873417721519,0.4277531108597285,0.4730940934065934,0.43882211538461535,2s Windows (non-overlapping)
07,350,76,0.42105263157894735,0.3329676174888941,0.4056008942038354,0.3626893939393939,2s Windows (non-overlapping)
09,364,62,0.4032258064516129,0.39754490254149966,0.500625,0.4027777777777778,2s Windows (non-overlapping)
11,365,61,0.4098360655737705,0.3229455431597927,0.39769345238095233,0.3836805555555556,2s Windows (non-overlapping)
