model,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1,mean_precision,std_precision,mean_recall,std_recall,mean_train_time
Random Forest,0.4179753909948662,0.06393506620772196,0.335708526594167,0.05866205389237025,0.37064277838174897,0.0773602959048109,0.37335072335072333,0.046387846845570076,0.7477972507476807
Logistic Regression,0.4028813827025923,0.08569496544095134,0.33554176705767524,0.08657152528785118,0.40109418391635887,0.09860305865541277,0.36759950119325113,0.07990183940062744,0.056798974672953285
SVC,0.37843520922531454,0.07247951352086647,0.2999926114560922,0.0704643917786345,0.3584878757839827,0.11308815501381672,0.3403250395437895,0.06898007244940466,0.09390485286712646
Gradient Boosting,0.36954041049368563,0.054231273627518894,0.31420211705953754,0.04849312980690074,0.36194449613567264,0.06676821038391073,0.34006366896991896,0.04518052462458751,8.68830680847168
